,ibns_20u,vgs_m1,name,type,time,OK
0,21.68815,0.6895685,tran_SchGtKttmmTtVt_29,Sch,Mon Jan 20 12:51:48 2025,True
1,20.21435,0.685899,tran_SchGtKttmmTtVt_28,Sch,Mon Jan 20 12:51:48 2025,True
2,20.39159,0.684169,tran_SchGtKttmmTtVt_27,Sch,Mon Jan 20 12:51:48 2025,True
3,20.4715,0.6852868,tran_SchGtKttmmTtVt_26,Sch,Mon Jan 20 12:51:48 2025,True
4,20.095959999999998,0.6847128,tran_SchGtKttmmTtVt_25,Sch,Mon Jan 20 12:51:47 2025,True
5,20.579880000000003,0.6866578,tran_SchGtKttmmTtVt_24,Sch,Mon Jan 20 12:51:47 2025,True
6,21.3484,0.6875711,tran_SchGtKttmmTtVt_23,Sch,Mon Jan 20 12:51:47 2025,True
7,19.02114,0.6810954,tran_SchGtKttmmTtVt_22,Sch,Mon Jan 20 12:51:47 2025,True
8,20.722080000000002,0.6860362,tran_SchGtKttmmTtVt_21,Sch,Mon Jan 20 12:51:47 2025,True
9,20.01204,0.6853906,tran_SchGtKttmmTtVt_20,Sch,Mon Jan 20 12:51:47 2025,True
10,19.55516,0.6837865,tran_SchGtKttmmTtVt_19,Sch,Mon Jan 20 12:51:47 2025,True
11,20.61431,0.6861449,tran_SchGtKttmmTtVt_18,Sch,Mon Jan 20 12:51:47 2025,True
12,21.263930000000002,0.6878151,tran_SchGtKttmmTtVt_17,Sch,Mon Jan 20 12:51:47 2025,True
13,19.38247,0.6823644,tran_SchGtKttmmTtVt_16,Sch,Mon Jan 20 12:51:46 2025,True
14,20.70254,0.6884343,tran_SchGtKttmmTtVt_15,Sch,Mon Jan 20 12:51:46 2025,True
15,18.96811,0.6825179,tran_SchGtKttmmTtVt_14,Sch,Mon Jan 20 12:51:46 2025,True
16,21.026729999999997,0.6870975,tran_SchGtKttmmTtVt_13,Sch,Mon Jan 20 12:51:46 2025,True
17,20.182949999999998,0.6854515,tran_SchGtKttmmTtVt_12,Sch,Mon Jan 20 12:51:46 2025,True
18,20.18697,0.6850388,tran_SchGtKttmmTtVt_11,Sch,Mon Jan 20 12:51:46 2025,True
19,20.78033,0.6864975,tran_SchGtKttmmTtVt_10,Sch,Mon Jan 20 12:51:46 2025,True
20,20.65809,0.6855574,tran_SchGtKttmmTtVt_9,Sch,Mon Jan 20 12:51:46 2025,True
21,19.09563,0.6809993,tran_SchGtKttmmTtVt_8,Sch,Mon Jan 20 12:51:46 2025,True
22,21.06978,0.6879811,tran_SchGtKttmmTtVt_7,Sch,Mon Jan 20 12:51:45 2025,True
23,21.24867,0.6876527,tran_SchGtKttmmTtVt_6,Sch,Mon Jan 20 12:51:45 2025,True
24,20.61433,0.6868526,tran_SchGtKttmmTtVt_5,Sch,Mon Jan 20 12:51:45 2025,True
25,21.604339999999997,0.6874568,tran_SchGtKttmmTtVt_4,Sch,Mon Jan 20 12:51:45 2025,True
26,19.62783,0.6831121,tran_SchGtKttmmTtVt_3,Sch,Mon Jan 20 12:51:45 2025,True
27,19.241979999999998,0.6822657,tran_SchGtKttmmTtVt_2,Sch,Mon Jan 20 12:51:45 2025,True
28,21.16376,0.6885908,tran_SchGtKttmmTtVt_1,Sch,Mon Jan 20 12:51:45 2025,True
29,19.74958,0.6840672,tran_SchGtKttmmTtVt,Sch,Mon Jan 20 12:51:45 2025,True
